account_id,plan,status,start_date,renewal_date,mrr_eur,seats_purchased
acc_001,Pro,active,2024-06-11,2026-06-19,1200,25
acc_002,Business,active,2024-12-18,2026-07-16,4200,80
acc_003,Enterprise,non_renewing,2024-09-09,2026-06-16,15000,250
acc_004,Enterprise,active,2024-03-13,2026-07-26,22000,400
acc_005,Pro,active,2025-05-17,2026-09-14,800,15
acc_006,Business,active,2024-10-29,2026-07-03,5500,100
acc_007,Business,active,2025-02-06,2026-08-18,3800,70
acc_008,Enterprise,active,2023-12-14,2026-10-09,18000,320
acc_009,Pro,active,2025-08-05,2026-12-08,950,20
acc_010,Business,active,2024-08-30,2026-08-05,4600,85
acc_011,Pro,active,2025-09-04,2026-12-28,1100,22
acc_012,Business,active,2024-11-28,2026-06-26,4900,90
acc_013,Enterprise,active,2024-06-11,2026-08-25,12000,200
acc_014,Business,active,2025-01-07,2026-07-29,5100,95
acc_015,Pro,active,2025-07-06,2027-02-06,700,12
acc_016,Business,active,2024-10-09,2026-06-23,4200,78
acc_017,Enterprise,active,2024-04-22,2026-09-09,16000,280
acc_018,Enterprise,active,2024-02-02,2026-07-11,25000,450
acc_019,Business,active,2025-03-18,2026-08-12,4400,82
acc_020,Business,active,2024-09-29,2026-07-23,5300,98
acc_021,Pro,active,2025-09-24,2027-03-08,850,18
acc_022,Pro,active,2025-10-24,2027-04-07,650,14
acc_023,Enterprise,active,2024-07-11,2026-07-09,14000,240
acc_024,Pro,active,2025-04-17,2026-06-14,950,16
acc_025,Business,active,2025-02-16,2026-08-08,4800,72
acc_026,Pro,active,2025-05-27,2026-11-18,750,13
acc_027,Enterprise,active,2024-05-22,2026-09-01,20000,300
acc_028,Enterprise,active,2024-04-02,2026-06-29,23000,380
acc_029,Pro,active,2025-07-26,2027-01-07,1050,19
acc_030,Business,active,2025-01-27,2026-07-19,5200,88
acc_031,Business,active,2025-03-08,2026-08-20,4600,76
acc_032,Pro,active,2025-08-25,2026-10-29,1100,21
acc_033,Business,active,2024-12-28,2026-07-06,5400,92
acc_034,Pro,active,2025-06-16,2026-12-18,900,17
acc_035,Business,active,2025-01-17,2026-08-02,5000,84
acc_036,Enterprise,active,2024-07-21,2026-06-18,17000,260
acc_037,Business,active,2025-02-26,2026-08-15,5600,94
acc_038,Enterprise,active,2024-02-22,2026-07-14,26000,420
acc_039,Business,active,2025-03-28,2026-09-04,4700,78
acc_040,Pro,active,2025-09-14,2027-02-26,800,15
acc_041,Pro,active,2025-10-04,2027-03-18,650,12
acc_042,Pro,active,2025-06-26,2026-11-03,720,14
acc_043,Business,active,2025-02-06,2026-07-25,5100,86
acc_044,Pro,active,2025-07-16,2026-11-28,600,11
acc_045,Pro,active,2025-06-06,2026-10-14,850,16
acc_046,Business,active,2025-01-22,2026-07-31,4900,80
acc_047,Pro,active,2025-08-30,2027-01-27,700,13
acc_048,Business,active,2025-02-01,2026-07-21,5300,90
acc_049,Business,active,2025-03-13,2026-08-26,4800,82
acc_050,Enterprise,active,2024-06-21,2026-09-29,21000,350
